"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CEACAM20",0.772475836907963,7.77839284214367,8.60790271560363,2.76970656535003e-10,4.49327191286543e-06,13.2492692484024
"CHAT",1.01179858980559,7.68181010452351,8.46935169090985,4.12170060346322e-10,4.49327191286543e-06,12.8812395683632
"OR5H1",0.597962408893312,7.02686655088213,8.24119702761504,7.97163083833706e-10,5.79351557227543e-06,12.2693687872987
"FAM178B",0.483425130541454,8.90285957189202,7.98146659639835,1.70163081345817e-09,9.2751641564571e-06,11.5642486734192
"TMEM8C",0.605439793755619,7.86229885480006,7.67454765646823,4.20925841316344e-09,1.799808463128e-05,10.7198060887678
"MGC34800",2.13506251256868,3.83432690652737,7.5793744770236,5.58541599799157e-09,1.799808463128e-05,10.4556012399244
"HPVC1",1.6137394403911,7.37524902453875,7.56796636985913,5.77840629358161e-09,1.799808463128e-05,10.4238598154713
"KRTAP21-1",0.7243960211411,5.90534344975552,7.5218301376021,6.63021623037673e-09,1.8069825558863e-05,10.2953373791872
"LOC100270679",1.38997676229488,4.66123337771372,7.43962165132035,8.47552945329616e-09,2.05324409633574e-05,10.065720654777
"C19orf23",0.590400681964883,7.25519465305886,7.3588027379486,1.07964383178633e-08,2.18598782986144e-05,9.83924367302231
"NHSL2",1.05248344183875,8.75096157234702,7.35170544289828,1.10286961099279e-08,2.18598782986144e-05,9.8193206428837
"CALHM1",1.0147531856318,6.54424816990197,7.29545493043962,1.30574451485879e-08,2.37242897145553e-05,9.66122480774798
"LARP4B",-0.410026288742205,6.28148426391131,-7.26306102162629,1.43928829787813e-08,2.41390790451053e-05,9.57002561247419
"LOC285401",0.760766689250465,6.20164521102941,7.18631691590671,1.81342568857746e-08,2.82415144914674e-05,9.35352703159714
"LOC728061",1.03783757675956,11.2373796671939,7.12821841278421,2.16082883723007e-08,2.82875082792958e-05,9.18922692900316
"FAM13B",0.865956683589186,10.6154971353485,7.12570588852806,2.17728424952461e-08,2.82875082792958e-05,9.18211396435288
"LOC100128256",0.677396280836621,5.70107416844002,7.12142652052876,2.20560308557551e-08,2.82875082792958e-05,9.16999761274809
"LOC146795",0.804383104638115,8.21703768960436,7.08594171254232,2.45521985463254e-08,2.96439045459375e-05,9.06945824813781
"LOC100127904",0.880894540290226,6.99648164325563,7.06912541574075,2.58328755846816e-08,2.96439045459375e-05,9.0217694136455
"SUV39H1",-0.558115457085286,5.75692980344066,-6.96928674517591,3.49529547834608e-08,3.81039636571898e-05,8.73808319149492
"TSNARE1",0.852243207586541,9.44513031445027,6.91113746431491,4.16987152208169e-08,3.99017462408869e-05,8.57242909792713
"GGNBP1",1.39269677621394,9.01886821732921,6.90937209673741,4.19228833629446e-08,3.99017462408869e-05,8.56739520314968
"PRKACG",0.939567180151444,6.11654889378019,6.90804358456281,4.20923801100949e-08,3.99017462408869e-05,8.56360680601509
"EPHX3",0.554744200289731,13.9145573023428,6.88471622697422,4.5183753983691e-08,4.10475578377673e-05,8.49706083699467
"NFXL1",0.598210372028301,7.43491654108505,6.83632429427138,5.23466085748877e-08,4.56525242703311e-05,8.35886167968294
"OR1D2",0.788625636330705,5.53761807412962,6.75122507402816,6.78342510325344e-08,5.68842375100903e-05,8.11535299421528
"FAM99A",0.392292546537389,10.9485976010154,6.73286608372901,7.17399865770709e-08,5.79313676792547e-05,8.06274178006557
"GPR32",0.919698948139574,4.94034032928404,6.68449697438856,8.31500186571207e-08,6.47471377421858e-05,7.92400366918984
"PDE6G",0.728982846362186,8.96534479075893,6.5704916980219,1.17816592338046e-07,8.56296125107276e-05,7.59630378824698
"TTC36",0.5085133537106,6.22418334149385,6.57047475242555,1.17822702165841e-07,8.56296125107276e-05,7.59625500986621
"GHSR",0.455537850819367,8.41440773767217,6.54844873052959,1.26040093009679e-07,8.62340048179156e-05,7.53283570190358
"LOC389033",0.473276377194747,10.7031501935287,6.54349752148311,1.27965288078984e-07,8.62340048179156e-05,7.5185751568751
"LEPREL1",1.18020834084139,7.07146746131626,6.52930044095453,1.3365124036466e-07,8.62340048179156e-05,7.4776753194829
"KRT34",0.614189158899793,2.52967194988144,6.5272944235616,1.3447489628992e-07,8.62340048179156e-05,7.47189516679184
"LMF2",0.485857315824495,14.6038520265602,6.50893649997146,1.42253804281298e-07,8.63309511074387e-05,7.41898609154868
"GFRA3",0.540577574899694,6.28169849471532,6.50826846609471,1.42545257068651e-07,8.63309511074387e-05,7.41706034237222
"SIGLEC15",0.806378857028458,12.367354980755,6.47063870961815,1.59970540245189e-07,9.42290177105743e-05,7.30853791895129
"RARA",0.402403180940748,10.7083331324333,6.46086503928158,1.6483702399779e-07,9.42290177105743e-05,7.28033635826004
"C22orf43",0.498376348616049,6.7984420215846,6.44410698276067,1.73530234110887e-07,9.42290177105743e-05,7.23196776254076
"SLC22A31",0.589995653466545,12.7743266068621,6.43669801316264,1.77519205712389e-07,9.42290177105743e-05,7.210577825158
"AADACL3",0.703041296785708,7.16695589042008,6.43581569177909,1.78000348606836e-07,9.42290177105743e-05,7.20803031145669
"JMJD5",0.433253334196973,9.37937986093979,6.4294384502052,1.81517164786686e-07,9.42290177105743e-05,7.18961599084631
"RPS10P7",0.679097297117924,9.95240438114704,6.39689768330001,2.00580192135532e-07,0.000101703486723977,7.09561651925674
"FLJ45831",0.817656495246831,6.40349500775829,6.38317668071161,2.0920991785262e-07,0.000103668269066833,7.05596252228464
"LCE1E",0.578170660340031,7.73964391415123,6.3710436078999,2.17151393804809e-07,0.00010517035893129,7.02088870876962
"CDX1",0.621001115258969,4.54524171975714,6.36401669557843,2.21888570877372e-07,0.00010517035893129,7.0005717872451
"LOC284260",0.546448308798781,5.36824836956278,6.34729290047848,2.33584902440295e-07,0.000106519987562056,6.95220721870328
"LOC100131131",0.460155405983072,5.51252523163472,6.34601024408698,2.34507150528767e-07,0.000106519987562056,6.94849719113819
"ZC3HAV1L",0.713929292239177,11.5493591658617,6.33848560330883,2.39991650585436e-07,0.000106786488932944,6.92673069477836
"TH",0.611919283476334,8.6928872978661,6.3021070939763,2.68380690511842e-07,0.000117030083904594,6.82145617743834
"COX6B2",0.6464191886498,6.7273117792904,6.29337386097236,2.75683940059974e-07,0.000117857587159365,6.7961731263288
"PRSS56",1.58602480524906,8.65727263921428,6.28221740631774,2.85304820813888e-07,0.000118492153822222,6.76386913308515
"PMFBP1",0.743091778770987,7.16611127770995,6.27911730029655,2.88037616501297e-07,0.000118492153822222,6.75489153598333
"DIRC1",0.406555397985191,10.0804508036974,6.23556959514572,3.29324506054397e-07,0.000132967818620445,6.62873230097816
"ZNF446",0.495691046731197,9.18736087658936,6.20486324054241,3.61962740679415e-07,0.00014348861154606,6.53972162728787
"INSL3",0.884554475435575,10.1767686884339,6.19473637308846,3.73423861769303e-07,0.000143550810218928,6.51035694039552
"OR51A7",0.968029309111227,8.41852925701402,6.19311912634033,3.75287629339031e-07,0.000143550810218928,6.5056670271414
"AMTN",0.831488644743519,2.24290970159655,6.1764949503203,3.94995701533565e-07,0.00014848433242304,6.45745148020697
"LOC731932",0.436986443069808,5.68789398139216,6.1608542525859,4.14485514111215e-07,0.0001513781309782,6.41207776608506
"LOC100131432",0.546486802845076,6.79842867480235,6.1592177507765,4.16579730252352e-07,0.0001513781309782,6.40732968903226
"ZNF746",0.525936354260617,13.1634985130548,6.13521726441041,4.48541504631933e-07,0.000160320498778525,6.33768340354194
"ZNF479",1.32966214169483,4.48729142356922,6.12840483905556,4.58054174747661e-07,0.000161079922129407,6.31791052930039
"ACTN2",0.424616245692571,8.44253259270016,6.1088083123715,4.86562031926972e-07,0.000162925519421291,6.26102238841837
"TAS2R60",0.615569284502071,7.64735332776241,6.10568866974851,4.91261770853236e-07,0.000162925519421291,6.25196484776097
"FXN",0.671844676113847,7.77884017161548,6.1047154892205,4.92737165234896e-07,0.000162925519421291,6.24913925233857
"LOC441666",0.782372999269365,7.2406678217405,6.10441548983627,4.93192876292493e-07,0.000162925519421291,6.24826820776603
"FKSG2",1.49527409047041,3.11792848995172,6.07939126945751,5.32732955779387e-07,0.000173360845296388,6.17559943852011
"C2orf61",0.790213420013358,6.83476860670826,6.07055928183605,5.47434669595372e-07,0.00017552526619394,6.1499467302774
"SPRR1A",0.468764945620693,13.921534475826,6.06169057077952,5.6260701478951e-07,0.000177775662948633,6.12418473575427
"PSMD6",0.854015749901873,10.6554949684155,6.05107642721275,5.81320822722804e-07,0.000178994308674387,6.09334920304608
"NIPAL1",0.458340276945317,6.55668498686604,6.04551448091291,5.91375061804295e-07,0.000178994308674387,6.07718955474517
"KLRAP1",1.04664360728672,5.38926153488871,6.04171634061901,5.98340913428702e-07,0.000178994308674387,6.06615390086278
"LOC100132147",0.54858533863249,10.6320245594476,6.0411957154304,5.99302138844667e-07,0.000178994308674387,6.06464116784568
"LOC642980",0.509736877562471,8.56511690256694,6.01850998149856,6.42725254098077e-07,0.000187407052104391,5.9987173136781
"ESPL1",0.732589406455992,7.53244266584097,6.01559065975124,6.4853760803094e-07,0.000187407052104391,5.99023277176676
"ABCD3",0.861613206946314,6.34055839110385,6.01029894941023,6.59208036366406e-07,0.000187407052104391,5.97485263694312
"KLK10",0.640635387191501,5.58939647276764,5.99965697111954,6.812028198618e-07,0.000187407052104391,5.94391977905365
"LOC100130654",0.512952777939528,9.95440617624233,5.99657537489427,6.87708132331316e-07,0.000187407052104391,5.93496197011357
"SIX5",0.470182655451525,6.60167474389129,5.99539424981514,6.90217987178442e-07,0.000187407052104391,5.93152852085068
"SIRPB1",0.636566248314131,6.12097393051159,5.98800933109585,7.0612022495112e-07,0.000187407052104391,5.9100602188972
"LOC497256",0.666976179361557,9.52411042781791,5.98747733067853,7.07279882992686e-07,0.000187407052104391,5.90851361279012
"OXER1",0.463147056180506,6.62135113116085,5.98742579688793,7.07392318051556e-07,0.000187407052104391,5.9083637958272
"CATSPERG",0.451801800613927,9.72732694369942,5.98467314645437,7.13424084972915e-07,0.000187407052104391,5.90036129953016
"FMO6P",0.75806416905522,5.52880544428053,5.95236111836076,7.88202524537461e-07,0.000204585471934408,5.80640952256196
"LOC338694",0.672677674721056,5.60851174860725,5.94159674116805,8.14819444178742e-07,0.000208002924050268,5.77510501046694
"LOC440028",0.65095114639306,4.89326615633259,5.93936518782325,8.20449088121956e-07,0.000208002924050268,5.76861497110833
"NCRNA00322",0.557280171644768,10.0823557350741,5.92669331001024,8.53164001161074e-07,0.000213810743877183,5.73175920399477
"HMX2",0.414930121621512,8.03741728858677,5.9210652226398,8.68110083098412e-07,0.000215084137974939,5.71538898575751
"LOC100129888",0.699648441226076,4.98960994578236,5.91643938738681,8.8059075077264e-07,0.0002157249453831,5.70193349257142
"FAM109A",0.546005752183546,6.91987753111518,5.90567932583131,9.10321527349658e-07,0.000220530447342273,5.67063328352479
"BTNL2",0.440076888289637,9.72334873352044,5.89873025206241,9.30054541996524e-07,0.0002214897818173,5.65041775849534
"NPR1",0.498458746225912,5.22039173988516,5.89715085952366,9.34598905067724e-07,0.0002214897818173,5.64582302678912
"PRM2",0.803714658316098,12.9045079713389,5.88975310502194,9.56182176584279e-07,0.000224168172000721,5.62430104434409
"ARHGEF7",0.943389136152058,10.1712722120269,5.87391485369446,1.00408419847439e-06,0.000232894125312096,5.57822023625935
"NCRNA00317",0.70038046639309,7.17280348021337,5.86210304457225,1.04136634297952e-06,0.000238999056589289,5.54385151413849
"MAB21L3",0.459716311461484,6.494642149672,5.8373691730277,1.12398604596366e-06,0.000253303031732587,5.47187682401086
"CCDC166",0.493906712832759,8.61422633303184,5.83652259238887,1.12692721543186e-06,0.000253303031732587,5.46941315497361
"LOC497257",0.41271122829021,9.56883659325911,5.81934928416986,1.18828192275202e-06,0.000264368477160839,5.41943447563444
"C20orf118",0.872946270408259,5.28393844706072,5.79792881290639,1.26951741557967e-06,0.000279588769817006,5.35709082329686
"DKFZP547L112",0.298700420163492,17.1921043267586,5.7837342941262,1.32638783320335e-06,0.000288751021258777,5.31577566519518
"ZNF579",0.691792910863319,10.2734766481278,5.78100600842831,1.33760735436117e-06,0.000288751021258777,5.3078344091699
"CYP2B6",0.654905051118732,10.6473270652875,5.77326662781355,1.36995340916493e-06,0.000292834256666891,5.28530698645929
"CLDN16",0.561844999919698,4.86204453991431,5.76666100040714,1.39817935101051e-06,0.000295966062039632,5.26607930349906
"LOC145216",0.494451726027194,7.68019391980402,5.75466340662574,1.4509416055256e-06,0.000304181536781487,5.23115596985444
"LOC648740",0.669108320249735,7.87170749901856,5.7504906058451,1.46975556250493e-06,0.000305009902945648,5.21900933879774
"ZNF676",0.90892353837789,5.56195107300343,5.74761304997197,1.48287160997288e-06,0.000305009902945648,5.2106329942608
"KRTAP6-3",0.526903133397246,6.96771270070024,5.74257390571744,1.50612295576023e-06,0.000306897185088228,5.19596434164418
"CTSL1P2",0.334401970468743,9.4455854618247,5.73869264006149,1.5242799915499e-06,0.00030772108014595,5.18466613399627
