Probe ID,Gene Symbol,Gene ID
1552612_at,SPEC2,56990
1552613_s_at,SPEC2,56990
1552615_at,ACACB,32
1552616_a_at,ACACB,32
1552617_a_at,,64326
1552618_at,STX6,10228
1552619_a_at,ANLN,54443
1552620_at,SPRR4,163778
1552621_at,,246721
1552622_s_at,,246721
1552623_at,,84941
1552625_a_at,hMtCCA,51095
1552626_a_at,,81615
1552627_a_at,ARHGAP5,394
1552628_a_at,,64224
1552629_a_at,PTDSR,23210
1552630_a_at,SRCAP,10847
1552631_a_at,MAP3K6,9064
1552632_a_at,,22901
1552633_at,,94039
1552634_a_at,,94039
1552637_at,PTPN11,5781
1552639_at,,113730
1552641_s_at,TOB3,83858
1552643_at,,199777
1552644_a_at,PHC3,80012
1552646_at,IL11RA,3590
1552648_a_at,TNFRSF10A,8797
1552649_a_at,LOC117584,117584
1552651_a_at,,117584
1552652_at,HPS4,89781
1552656_s_at,KIS,127933
1552657_a_at,TXNDC2,84203
1552658_a_at,NAV3,89795
1552660_a_at,,55322
1552661_at,PCDHGB7,56099
1552662_a_at,PCDHGB7,56099
1552663_a_at,ELKS,23085
1552664_at,BHD,201163
1552665_at,,84989
1552666_a_at,KIAA1365,57554
1552667_a_at,SH2D3C,10044
1552669_at,,79660
1552670_a_at,,79660
1552671_a_at,SLC9A7,84679
1552672_a_at,IGSF3,3321
1552673_at,,222546
1552674_at,,116093
1552675_at,,150353
1552676_at,SPC,114131
1552677_a_at,DIP2,23181
1552678_a_at,USP28,57646
1552680_a_at,AF15Q14,57082
1552682_a_at,AF15Q14,57082
1552684_a_at,SENP8,123228
1552685_a_at,LBP-32,29841
1552686_at,,140894
1552687_a_at,,140894
1552689_at,CASKIN1,57524
1552690_a_at,CACNA2D4,93589
1552691_at,,115761
1552693_at,,115761
1552694_at,SLC2A13,114134
1552695_a_at,SLC2A13,114134
1552696_at,,123606
1552698_at,,113691
1552701_a_at,COP,114769
1552703_s_at,COP,114769
1552705_at,,142679
1552708_a_at,,142679
1552711_a_at,,124637
1552712_a_at,C1orf15,23057
1552713_a_at,SLC4A1,6521
1552714_at,CREG2,200407
1552715_a_at,LGR7,59350
1552716_at,,153268
1552717_s_at,,220766
1552718_at,HARS2,92675
1552719_at,,113201
1552721_a_at,FGF1,2246
1552722_at,ARPP-21,10777
1552724_at,,158800
1552725_s_at,ADAMTS17,170691
1552726_at,,170691
1552727_s_at,,170691
1552729_at,,84973
1552730_at,DHH,50846
1552731_at,STARS,137735
1552732_at,,137735
1552733_at,,122773
1552734_at,,253260
1552735_at,,56111
1552736_a_at,NETO1,81832
1552737_s_at,WWP2,11060
1552738_a_at,ST7L,54879
1552739_s_at,ST7L,54879
1552740_at,,150590
1552742_at,KCNH8,131096
1552743_at,MCF2L,23263
1552745_at,,133482
1552747_a_at,,151649
1552749_a_at,,147700
1552750_at,KIP3,117286
1552751_a_at,KIP3,117286
1552752_a_at,,253559
1552754_a_at,,253559
1552755_at,,157983
1552757_s_at,,157983
1552758_at,HDAC9,9734
1552760_at,,9734
1552761_at,,162515
1552763_at,,91147
1552765_x_at,,91147
1552766_at,HS6ST2,90161
1552767_a_at,HS6ST2,90161
1552768_at,CAMKK1,84254
1552769_at,,90589
1552770_s_at,,147837
1552771_a_at,,286826
1552772_at,CLEC-6,121481
1552773_at,,121481
1552774_a_at,UCP4,9481
1552775_at,GPRC6A,222545
1552777_a_at,,135250
1552779_a_at,,204962
1552782_at,,204962
1552783_at,,147687
1552785_at,,163115
1552787_at,HELB,92797
1552788_a_at,HELB,92797
1552789_at,,151826
1552790_a_at,,151826
1552791_a_at,TRDN,10345
1552792_at,SOCS7,122809
1552793_at,,286122
1552794_a_at,,284306
1552796_a_at,SIM1,6492
1552797_s_at,PROM-2,150696
1552798_a_at,TLR4,7099
1552799_at,,203062
1552800_at,WBSCR21,83451
1552801_at,CAPN13,92291
1552803_a_at,,149421
1552804_a_at,TIRAP,114609
1552806_a_at,SIGLEC10,89790
1552807_a_at,SIGLEC10,89790
1552808_at,ADAMTSL1,92949
1552809_at,RFX4,5992
1552811_at,WFIKKN,117166
1552812_a_at,SENP1,29843
1552813_at,BTEB5,136259
1552814_a_at,BTEB5,136259
1552816_at,,158046
1552818_a_at,BRS3,680
1552819_at,,257103
1552822_at,,54495
1552825_at,ZNF396,252884
1552826_at,SLC26A7,115111
1552827_s_at,SLC26A7,115111
1552828_at,SNAG1,112574
1552829_at,,55376
1552830_at,,162517
1552833_at,IMAGE:4907098,192134
1552834_at,,192134
1552835_at,,163486
1552836_at,,285267
1552837_at,ICK,22858
1552839_at,,161142
1552841_s_at,BCLG,79370
1552842_at,HS6ST3,266722
1552843_at,SLC26A1,10861
1552845_at,CLDN15,24146
1552846_s_at,,115273
1552848_a_at,,139411
1552849_at,,130951
1552851_at,,201516
1552852_a_at,,201516
1552853_at,,127731
1552854_a_at,,127731
1552856_at,,197196
1552857_a_at,HTR6,3362
1552858_at,,158809
1552860_at,TCEB3L2,162699
1552862_at,,284618
1552863_a_at,CACNG6,59285
1552865_a_at,,160492
1552867_at,,144845
1552868_at,,148046
1552870_s_at,,148436
1552872_at,,80161
1552873_s_at,,80161
1552875_a_at,CD200R,131450
1552876_at,,114042
1552877_s_at,,114042
1552878_at,,220202
1552879_a_at,,220202
1552880_at,RGPR,89866
1552882_a_at,,139285
1552884_at,,157848
1552885_a_at,,157848
1552887_at,,219793
1552889_a_at,,90332
1552890_a_at,CABP4,57010
1552892_at,TNFRSF13C,115650
1552893_at,CAM-KIIN,94032
1552895_a_at,,149992
1552897_a_at,KCNG3,170850
1552898_a_at,,170850
1552899_at,,154089
1552900_a_at,,154089
1552902_a_at,FOXP2,93986
1552903_at,GALGT2,124872
1552904_at,NETO1,81832
1552906_at,,158521
1552908_at,,148823
1552910_at,SIGLEC11,114132
1552911_at,Siglec-12,114132
1552912_a_at,IL23R,149233
1552913_at,,286514
1552914_a_at,B7-H3,80381
1552915_at,IL28A,282616
1552917_at,IL29,282618
1552919_at,,132989
1552921_a_at,FIGNL1,63979
1552922_at,RIMS1,22999
1552923_a_at,NIR3,57605
1552924_a_at,,57605
1552925_at,PCDH10,57575
1552927_at,,257397
1552928_s_at,,257397
1552929_at,GPRK7,131890
1552930_at,MMEL2,79258
1552931_a_at,PDE8A,5151
1552932_at,PYPAF5,171389
1552933_at,,254268
1552935_at,,203430
1552937_s_at,TREX1,11277
1552938_at,ZIC5,85416
1552939_at,ANGPT1,284
1552940_at,,127670
1552942_at,,149373
1552943_at,,166765
1552944_a_at,PANX2,56666
1552946_at,,163071
1552947_x_at,,163071
1552948_at,,148870
1552950_at,,161502
1552952_at,,159162
1552953_a_at,NEUROD2,4761
1552954_at,,285685
1552955_at,,83655
1552957_at,,200383
1552960_at,,131578
1552961_at,,84994
1552964_at,,255352
1552965_a_at,B3GNT7,93010
1552967_at,,158506
1552969_a_at,ZNF258,9204
1552970_s_at,ZNF258,9204
1552971_at,SGCZ,137868
1552972_at,,219800
1552973_at,WNT15,7484
1552974_at,,29049
1552975_x_at,,29049
1552976_at,TSARG3,256790
1552977_a_at,TNRC5,10695
1552978_a_at,SCAMP1,9522
1552979_at,,151477
1552980_at,HAS3,3038
1552982_a_at,FGF4,2249
1552985_at,ZnT-8,169026
1552986_at,,142937
1552987_a_at,,201824
1552988_at,,160140
1552990_at,,199714
1552991_at,JCG3,120065
1552993_at,,143241
1552995_at,IL30,246778
1552997_a_at,,132141
1552998_at,DEFB125,245938
1552999_a_at,WFDC10B,280664
1553002_at,DEFB105,260312
1553003_at,PKHD1,5314
1553004_at,PKD1L1,168507
1553006_at,GPR112,139378
1553007_a_at,ODZ1,10178
1553009_s_at,GOR,254958
1553011_at,TAF1L,138474
1553013_at,caspr5,129684
1553015_a_at,RECQL4,9401
1553016_at,GPR113,165082
1553019_at,TMC2,117532
1553020_at,,140771
1553021_s_at,BICD2,23299
1553022_at,ZIM3,114026
1553023_a_at,NOX5,79400
1553024_at,G30,282706
1553025_at,GPR126,
1553027_a_at,KLHL4,56062
1553028_at,GABABL,165829
1553030_a_at,SUOX,6821
1553031_at,GPR115,221393
1553032_at,CRL3,133396
1553033_at,SYTL5,94122
1553034_at,SDCCAG8,
1553036_at,GPR111,222611
1553037_a_at,SYN2,6854
1553039_a_at,ASB10,136371
1553041_at,HTR3C,170572
1553042_a_at,TA-NFKBH,84807
1553043_a_at,NKIR,146722
1553044_at,CX62,84694
1553045_at,WNT14,7483
1553046_s_at,GP3ST,64090
1553047_at,PIP5K2B,8396
1553048_a_at,PIP5K2B,8396
1553051_s_at,ODF3,113746
1553052_at,WFDC13,164237
1553053_at,,256369
1553055_a_at,,162394
1553057_at,,89777
1553058_at,GIPC3,126326
1553059_at,PGLYRPIalpha,114771
1553060_at,PSKH2,85481
1553061_at,sdolf,89883
1553062_at,DGAT2L1,116255
1553063_at,GPR78,27201
1553064_at,osH1,132243
1553066_at,TAR3,
1553067_a_at,GNRHR2,114814
1553069_at,,257357
1553070_a_at,MYOZ3,91977
1553071_a_at,MYOZ3,91977
1553072_at,BNIP-S,149428
1553074_at,ASB11,140456
1553075_a_at,,266553
1553076_at,,266553
1553077_at,SDR-O,121214
1553078_at,JCG1,120066
1553079_at,,135644
1553080_at,CSN1S2A,286828
1553081_at,WFDC12,128488
1553082_at,CRYGN,155051
1553083_at,,84323
1553084_at,STARD6,147323
1553086_at,,143501
1553087_at,,84322
1553088_a_at,BCL2L11,10018
1553089_a_at,WFDC2,10406
1553093_a_at,DEFB120,245933
1553094_at,PPT-C,255061
1553096_s_at,BCL2L11,10018
1553099_at,TIGD1,200765
1553101_a_at,,54890
1553102_a_at,,26112
1553103_at,NFX1,4799
1553105_s_at,DSG2,1829
1553106_at,,134553
1553107_s_at,,134553
1553108_at,,134553
1553111_a_at,,89890
1553112_s_at,CDK8,1024
1553113_s_at,,1024
1553114_a_at,PTK6,5753
1553115_at,NKD1,85407
1553117_a_at,STK38,11329
1553118_at,CTMP,117145
1553120_at,CLSPN,63967
1553122_s_at,RBAK,57786
1553123_at,,284403
1553125_x_at,,284403
1553126_a_at,,221074
1553127_a_at,,165918
1553129_at,POLYDOM,79987
1553130_at,,124216
1553131_a_at,,2626
1553132_a_at,,123036
1553133_at,,203228
1553134_s_at,,203228
1553136_at,,130535
1553137_s_at,TIEG2,8462
1553138_a_at,,126549
1553139_s_at,PLXN3,55558
1553140_at,,29019
1553141_at,,144811
1553142_at,,144811
1553145_at,,202020
1553146_at,,152405
1553147_at,,202151
1553148_a_at,,23161
1553150_at,,221656
1553151_at,ATP6V0D2,245972
1553153_at,ATP6V0D2,245972
1553155_x_at,ATP6V0D2,245972
1553156_at,LHx4,89884
1553157_at,LHx4,89884
1553158_at,,84984
1553159_at,DNAH11,8701
1553162_x_at,,148137
1553163_at,ARH2,113622
1553165_at,AP1GBP1,11276
1553166_at,,196887
1553167_a_at,,51091
1553168_at,GRIK5,2901
1553169_at,,164312
1553171_x_at,,164312
1553172_at,,27153
1553174_at,JPH2,57158
1553175_s_at,,8654
1553176_at,,117157
1553177_at,,117157
1553178_a_at,SSTR3,6753
1553179_at,ADAMTS19,171019
1553180_at,ADAMTS19,171019
1553181_at,DDX31,64794
1553183_at,,253815
1553185_at,,158158
1553186_x_at,,158158
1553188_s_at,PAR3L,117583
1553190_s_at,,117583
1553191_at,BPAG1,667
1553192_at,,126068
1553193_at,,126068
1553194_at,,257194
1553196_a_at,FCRH3,115352
1553197_at,,138009
1553199_at,,138009
1553202_at,,219736
1553204_at,,253868
1553205_at,,253868
1553207_at,,285598
1553208_s_at,,285598
1553209_at,,84900
1553211_at,,162282
1553212_at,K5B,196374
1553213_a_at,K5B,196374
1553214_a_at,,221016
1553215_s_at,,221016
1553216_at,ZNF41,7592
1553217_s_at,ZNF41,7592
1553218_a_at,KIAA1805,84450
1553219_a_at,AMMECR1,9949
1553220_at,,150864
1553221_at,,147949
1553222_at,tg1019,165140
1553224_at,LUZP1,7798
1553225_s_at,ZNF75,7626
1553226_at,,145978
1553227_s_at,WDR9,54014
1553228_at,,220388
1553229_at,,137209
1553232_at,,151393
1553234_at,ADAMTS18,170692
1553235_at,PCDHAC1,56135
1553237_x_at,PCDHAC1,56135
1553238_a_at,,147746
1553239_at,,220108
1553241_at,,286183
1553243_at,,84903
1553244_at,,170079
1553246_a_at,,84197
1553247_a_at,,163051
1553248_at,,201252
1553249_at,SMC1L2,27127
1553252_a_at,,254065
1553253_at,ASB16,92591
1553254_at,,139599
1553255_at,,147664
1553257_at,,89792
1553258_at,,146512
1553260_s_at,,151254
1553261_x_at,,151254
1553262_a_at,GPR14,2837
1553263_at,,124590
1553264_a_at,SYN1,6853
1553265_at,,151295
1553266_at,,246175
1553267_a_at,,246175
1553268_at,RHBDL4,162494
1553269_at,,255403
1553271_at,,283470
1553272_at,SLC36A1,206358
1553274_a_at,,154007
1553275_s_at,,283372
1553276_at,,147741
1553277_at,,284278
1553279_at,,153579
1553280_at,,150962
1553281_at,,257068
1553282_at,,150147
1553284_s_at,LMLN,89782
1553285_s_at,,144715
1553286_at,,148254
1553288_a_at,,222950
1553292_s_at,,124923
1553293_at,MRGX3,117195
1553295_at,,154664
1553296_at,,84873
1553297_a_at,CSF3R,1441
1553298_at,,146723
1553299_at,,200107
1553300_a_at,,160851
1553301_a_at,,130827
1553303_at,,123775
1553304_at,,149986
1553306_at,CASP8,841
1553310_at,,151056
1553311_at,,284756
1553313_s_at,SLC5A3,6526
1553314_a_at,,124602
1553315_at,,200172
1553316_at,GPR82,27197
1553317_s_at,,27197
1553318_at,,158787
1553319_at,GPR99,27199
1553320_s_at,,168448
1553321_a_at,SULT1C2,
1553322_s_at,TEAD1,7003
1553323_a_at,,117155
1553325_at,,134187
1553326_at,GREAT,122042
1553327_a_at,,222389
1553328_a_at,SLC18A2,6571
1553329_at,,136263
1553330_at,,136263
1553333_at,,126868
1553335_x_at,,285696
1553336_a_at,,166968
1553338_at,,163859
1553340_s_at,AMAC,83650
1553341_at,,131669
1553344_at,PCDH15,65217
1553346_a_at,TNRC6,27327
1553347_s_at,KCNA6,3742
1553348_a_at,NFX1,4799
1553349_at,,196528
1553350_at,,205147
1553351_at,LOC161725,161725
1553352_x_at,,
1553354_a_at,,143153
1553355_at,,150319
1553356_at,,114138
1553357_at,,158696
1553359_at,,80028
1553361_x_at,,80028
1553362_at,,284944
1553363_at,,154386
1553364_at,,285848
1553365_at,,120863
1553366_s_at,DARP,200539
1553367_a_at,,125965
1553369_at,,199786
1553371_at,,284656
1553372_at,,200317
1553373_at,,128025
