"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCR6",138.2562681135,7722.03579575651,1.62551625101319,0.109278758113328,0.153260254530616,-4.59206337686781
"LOC100128009",-1.11389263328166,82.4063427496832,-1.62546027301792,0.109290706577742,0.153270151721209,-4.59214340302014
"ADAM3A",-1.66313664038103,88.0474673970811,-1.62541537808205,0.109300290135904,0.153276731611099,-4.592207583021
"PLIN",2.56586194985509,89.013028903152,1.62463655798055,0.109466650438945,0.153503156180528,-4.59332069692946
"PSG4",-1.94410314304329,90.1873942193696,-1.62453633259901,0.109488074031558,0.153526327383193,-4.59346390698968
"LOC647371",0.862171991193186,80.7568823842034,1.6244225108505,0.109512408024273,0.153553577349648,-4.59362653490235
"FKBP1A",-29.6012710341264,334.186547974326,-1.62428425999806,0.109541970617985,0.153588155868263,-4.59382405307619
"LOC652418",1.57967314259397,89.6803932790973,1.62386358346955,0.10963196491576,0.15370745843977,-4.59442497726274
"CAPN14",-1.45107627889734,84.4200727688974,-1.62383936072999,0.109637148650448,0.153707848582243,-4.59445957443889
"LOC100130472",-1.5008752050055,83.3581129144352,-1.62348720068343,0.109712534328388,0.153805255998131,-4.59496250934164
"CRMP1",-6.83741954236031,133.975951514656,-1.6234689383742,0.109716444822564,0.153805255998131,-4.59498858782939
"LOC648447",-1.69073543618431,95.6659723641715,-1.62334493777649,0.109742999961361,0.153835599731101,-4.59516565302884
"LOC441167",1.46529327020287,87.5435693553003,1.62327685626091,0.109757582057585,0.153849157922177,-4.59526286400868
"MIRLET7C",-2.12118057895802,88.5317893790115,-1.62297718826922,0.10982178535804,0.153932266714777,-4.59569070441083
"EBNA1BP2",7.74233869155941,162.217047545072,1.6225942595598,0.109903871383842,0.154040432364524,-4.59623731298083
"RABGGTA",1.7511352530835,89.3176035321532,1.62253416521709,0.109916757941811,0.15405160322712,-4.59632308354457
"LOC100128067",-1.59663159106738,81.5299251870324,-1.62195338091536,0.110041363706861,0.1542193438765,-4.59715186810581
"UFC1",7.76810591763834,215.235025142063,1.62183998572201,0.110065705695939,0.154246559429159,-4.59731365265367
"JARID1C",1.32530484037653,85.1740157802216,1.62171739252091,0.110092027082008,0.154276546359018,-4.59748854873758
"RTKN2",-1.67411482554874,84.8754302767671,-1.62132330890767,0.110176673380278,0.15438826008218,-4.59805068194986
"LOC641955",1.53379698276831,87.4189996320674,1.6210396063717,0.110237643247729,0.154466788012,-4.59845528732308
"CCDC123",1.82203696838984,93.8662360492212,1.62094117249924,0.110258803830917,0.154489529993201,-4.59859565480522
"FSTL5",-3.84502889735122,95.3634520256735,-1.6207772231061,0.110294055755819,0.154532013193205,-4.5988294307538
"KIF3C",9.1143948967671,139.334258615756,1.6206470656467,0.110322048334956,0.154564322044601,-4.59901500738618
"AP3S1",-8.04677046123431,172.49369404358,-1.62061401531027,0.110329157288649,0.154567370762878,-4.59906212792522
"C9orf37",3.60983169890589,115.449550304566,1.62050825109579,0.110351909108176,0.154592333348039,-4.59921291225837
"OR6N2",1.97698728965874,87.1231327419157,1.62037813422515,0.110379904841667,0.154624639588197,-4.59939840305758
"LOC645323",-3.72504928556986,103.282891132824,-1.6201187441874,0.110435731937596,0.15469592849625,-4.59976814153041
"PHF6",2.54310156478174,97.387118269899,1.62009310714619,0.110441250898619,0.154696743659246,-4.59980468203614
"NPTX2",-89.5880018422414,348.89597931401,-1.61983688148188,0.110496421617854,0.15476710361512,-4.60016985192804
"LOC646607",1.29250634674575,86.2669800907567,1.61973464029262,0.110518442501369,0.15479102795181,-4.60031555025978
"LOC442229",1.49301043562266,86.4795470340542,1.61964633378181,0.110537464969241,0.154808740692619,-4.60044138431924
"LOC100133528",-6.21394795668486,118.543342463513,-1.61963006247233,0.110540970327972,0.154808740692619,-4.60046456975441
"CTAGE4",6.16878650782952,126.199801725195,1.61952363589861,0.110563900223799,0.154833932943576,-4.6006162146805
"GSTT2",3.41058039024062,92.8846572094354,1.61947904342294,0.110573508939026,0.154840468765438,-4.60067975084494
"LSG1",2.67568873424547,103.290368341441,1.6194412703604,0.110581648746872,0.15484494712582,-4.60073356934321
"LOC651112",-2.90632793017457,119.801702710437,-1.61936782262309,0.110597477564567,0.154853706928469,-4.60083821332376
"SPINT3",1.84066944126171,100.293248436286,1.61936637955897,0.110597788579569,0.154853706928469,-4.60084026927275
"C2orf27A",1.43130588506212,86.4131556355014,1.61932924148983,0.110605792969689,0.15485773964717,-4.60089317970734
"SLC6A20",-2.49104659522365,88.5419259228977,-1.61930715685443,0.110610553106635,0.15485773964717,-4.60092464306216
